Date,Campaign_Name,Impressions,Clicks,Spend_IDR,Conversions,Revenue_IDR
2025-02-01,Promo Diskon 50%,33513,377,827138,12,4785864
2025-04-14,Promo Diskon 50%,46430,2086,5077324,40,6756120
2025-03-18,Launching Produk Baru,30102,1055,1834645,40,19372000
2025-05-31,Launching Produk Baru,23560,484,677600,2,596122
2025-04-24,Lookalike Audience,38600,987,2335242,14,6249292
2025-06-20,Lookalike Audience,44514,1991,3705251,70,16410100
2025-06-08,Flash Sale Akhir Bulan,25711,898,799220,12,2056416
2025-02-08,Launching Produk Baru,18334,864,1588032,17,5017635
2025-03-19,Retargeting Web,38365,2834,3797560,69,16168080
2025-05-14,Retargeting Web,33477,1459,1759554,48,11861424
2025-01-03,Launching Produk Baru,25073,1003,2605794,23,10092377
2025-06-17,Retargeting Web,13968,1108,2314612,40,17786600
2025-04-12,Promo Diskon 50%,15318,542,1056358,16,7791248
2025-03-17,Retargeting Web,28011,1279,2144883,69,22711488
2025-04-08,Launching Produk Baru,18802,700,2062900,22,4160860
2025-02-09,Promo Diskon 50%,16143,389,1086477,5,2095910
2025-01-30,Flash Sale Akhir Bulan,46282,1620,2613060,54,13817682
2025-02-27,Retargeting Web,17904,1263,1058394,42,12072354
2025-05-16,Retargeting Web,21317,1545,3261495,61,13469105
2025-01-18,Launching Produk Baru,39480,880,2147200,22,3916814
2025-02-02,Lookalike Audience,21696,1056,1959936,29,13337941
2025-04-23,Lookalike Audience,38152,1240,3362880,32,6805920
2025-02-14,Lookalike Audience,22186,893,2147665,5,2378900
2025-05-01,Flash Sale Akhir Bulan,1369,13,33930,0,0
2025-06-13,Launching Produk Baru,40502,1416,2157984,40,15660120
2025-03-06,Lookalike Audience,7484,177,420906,6,1068786
2025-05-23,Flash Sale Akhir Bulan,32473,1600,3848000,34,10852766
2025-03-11,Promo Diskon 50%,7818,230,243340,5,1493690
2025-04-08,Lookalike Audience,1165,47,102789,1,338840
2025-01-08,Lookalike Audience,27762,913,2432232,18,7482276
2025-06-24,Promo Diskon 50%,44949,1259,1219971,49,9814406
2025-05-09,Launching Produk Baru,13670,535,600805,21,9364194
2025-05-27,Retargeting Web,49346,2385,2733210,127,20981924
2025-01-28,Lookalike Audience,5351,159,355683,4,1715336
2025-06-16,Flash Sale Akhir Bulan,33242,856,2506368,20,6074100
2025-05-29,Launching Produk Baru,19782,622,896302,17,6165152
2025-06-16,Lookalike Audience,18317,784,1992144,6,1974450
2025-01-21,Promo Diskon 50%,41884,469,1122786,14,5634454
2025-05-29,Lookalike Audience,6242,298,340018,1,239383
2025-03-25,Flash Sale Akhir Bulan,42788,1102,1397336,8,2378720
2025-04-01,Retargeting Web,16165,611,1151124,26,7456670
2025-04-02,Flash Sale Akhir Bulan,31636,633,757701,9,2235699
2025-02-05,Flash Sale Akhir Bulan,37476,841,1742552,13,4700501
2025-02-26,Promo Diskon 50%,19951,296,788840,8,2365640
2025-06-16,Flash Sale Akhir Bulan,22630,366,394914,8,3073968
2025-04-13,Launching Produk Baru,14668,615,1347465,23,3699734
2025-02-06,Retargeting Web,9907,632,808328,37,17384006
2025-01-09,Launching Produk Baru,49037,245,463785,3,827577
2025-03-22,Promo Diskon 50%,24208,159,223077,1,244610
2025-01-14,Launching Produk Baru,13183,193,542330,4,1517212
2025-04-22,Launching Produk Baru,42038,2047,1664211,62,22537062
2025-02-23,Launching Produk Baru,27986,1149,2378430,11,2495284
2025-01-07,Promo Diskon 50%,10408,427,631533,15,7380465
2025-03-15,Promo Diskon 50%,2114,86,78346,1,333791
2025-04-09,Promo Diskon 50%,33829,1643,3642531,33,15432681
2025-05-12,Promo Diskon 50%,32142,260,231140,10,3371110
2025-02-18,Launching Produk Baru,5854,101,110494,3,669009
2025-01-21,Flash Sale Akhir Bulan,29336,1204,3412136,21,6606810
2025-04-20,Flash Sale Akhir Bulan,10553,379,606779,6,927036
2025-01-08,Launching Produk Baru,23981,155,199020,3,778095
2025-04-02,Promo Diskon 50%,49742,2311,3838571,61,17744717
2025-06-01,Launching Produk Baru,2036,10,10720,0,0
2025-04-25,Flash Sale Akhir Bulan,38260,1573,4226651,36,10759752
2025-02-25,Retargeting Web,49156,1825,2078675,101,15898511
2025-04-23,Retargeting Web,23073,926,1146388,47,10951846
2025-01-27,Promo Diskon 50%,17310,201,602397,5,1523080
2025-03-25,Launching Produk Baru,29103,591,576225,10,4449840
2025-04-15,Retargeting Web,16194,897,2687412,41,17410814
2025-03-06,Flash Sale Akhir Bulan,45729,244,647576,1,313696
2025-04-16,Flash Sale Akhir Bulan,41790,319,823339,3,1026318
2025-06-21,Flash Sale Akhir Bulan,19731,835,2167660,10,3584090
2025-05-05,Retargeting Web,44699,2261,3357585,50,11619400
2025-05-07,Flash Sale Akhir Bulan,47645,1523,4212618,14,6984278
2025-02-09,Flash Sale Akhir Bulan,42123,859,1571111,11,3985894
2025-02-27,Promo Diskon 50%,49205,1380,3176760,23,4406662
2025-02-01,Flash Sale Akhir Bulan,21669,477,883881,13,3113253
2025-02-05,Flash Sale Akhir Bulan,31643,1570,1858880,60,12125040
2025-02-23,Launching Produk Baru,24503,962,1325636,9,3158469
2025-05-19,Launching Produk Baru,22287,1112,1007472,15,4227960
2025-06-30,Flash Sale Akhir Bulan,30815,1332,1712952,36,9047844
2025-04-14,Lookalike Audience,4186,133,154413,1,420975
2025-06-22,Launching Produk Baru,45845,1960,4678520,25,11386700
2025-03-15,Lookalike Audience,40612,756,1276884,19,8897529
2025-04-11,Flash Sale Akhir Bulan,12134,562,781180,8,2052256
2025-05-11,Promo Diskon 50%,5912,85,134640,2,905984
2025-06-15,Flash Sale Akhir Bulan,31638,1548,3617676,46,14028620
2025-01-08,Retargeting Web,21223,946,1421838,21,7714749
2025-01-31,Flash Sale Akhir Bulan,19520,463,1333903,10,2834270
2025-02-25,Launching Produk Baru,10315,374,934626,13,4337697
2025-06-15,Launching Produk Baru,29080,313,701120,2,669274
2025-04-20,Retargeting Web,36191,1795,3085605,38,17752042
2025-01-27,Flash Sale Akhir Bulan,4615,70,82810,0,0
2025-01-28,Flash Sale Akhir Bulan,19693,139,216006,5,1071925
2025-04-26,Lookalike Audience,48015,1708,1660176,30,6872520
2025-05-26,Flash Sale Akhir Bulan,31992,1199,1752938,27,11593152
2025-03-11,Flash Sale Akhir Bulan,35449,1031,971202,5,1916095
2025-01-26,Lookalike Audience,49229,848,1272848,14,6071002
2025-06-13,Retargeting Web,31975,1691,2984615,36,15966108
2025-03-29,Launching Produk Baru,18324,474,995400,13,5358860
2025-03-19,Flash Sale Akhir Bulan,22622,314,900238,11,4040949
2025-06-09,Launching Produk Baru,2476,88,243056,3,1057806
2025-02-11,Retargeting Web,20821,948,1243776,26,12549914
2025-03-11,Flash Sale Akhir Bulan,30350,1317,3519024,45,13912245
2025-01-02,Promo Diskon 50%,48241,2309,2260511,19,4549075
2025-01-13,Lookalike Audience,36739,1278,2401362,40,16911680
2025-05-18,Launching Produk Baru,41343,359,802724,5,1445410
2025-02-10,Lookalike Audience,6794,285,352545,2,394302
2025-02-27,Flash Sale Akhir Bulan,15558,729,1672326,18,6784848
2025-04-12,Promo Diskon 50%,39986,946,1283722,6,1436670
2025-04-12,Flash Sale Akhir Bulan,36812,757,839513,14,2599408
2025-04-30,Retargeting Web,14648,1025,1337625,33,13278012
2025-03-27,Launching Produk Baru,34328,1522,2129278,46,7073650
2025-03-20,Launching Produk Baru,41334,1788,2630148,38,10930700
2025-03-20,Lookalike Audience,49126,259,450401,9,4177134
2025-04-11,Launching Produk Baru,43797,1431,2169396,42,7103586
2025-05-04,Launching Produk Baru,15848,681,1254402,5,2119165
2025-01-05,Launching Produk Baru,39103,329,276031,6,1957350
2025-03-09,Flash Sale Akhir Bulan,30373,493,702032,12,2139888
2025-06-17,Launching Produk Baru,17782,879,1032825,34,10565296
2025-05-20,Promo Diskon 50%,3438,20,35300,0,0
2025-01-31,Launching Produk Baru,49511,2474,2063316,12,3294888
2025-01-21,Promo Diskon 50%,44557,683,1507381,18,6800562
2025-04-28,Launching Produk Baru,7553,272,508912,5,809580
2025-01-16,Promo Diskon 50%,20941,251,318770,5,1501880
2025-01-31,Retargeting Web,13088,513,1284039,20,6934620
2025-05-07,Lookalike Audience,33653,1306,3394294,6,1874718
2025-02-09,Promo Diskon 50%,46234,1200,2007600,26,6027242
2025-03-31,Launching Produk Baru,43186,1901,2313517,33,6401208
2025-03-15,Flash Sale Akhir Bulan,34123,808,921928,12,2475324
2025-03-06,Launching Produk Baru,13734,283,674389,3,1362882
2025-05-26,Promo Diskon 50%,16716,519,822096,12,4053636
2025-01-18,Retargeting Web,46171,2712,6023352,112,42571200
2025-05-02,Flash Sale Akhir Bulan,7015,270,764910,7,1545628
2025-06-30,Lookalike Audience,38504,1388,3392272,35,6046705
2025-03-10,Lookalike Audience,24635,407,801790,13,4732195
2025-03-13,Promo Diskon 50%,24819,967,1547200,35,5465530
2025-03-18,Promo Diskon 50%,13048,387,322758,7,2034893
2025-06-12,Launching Produk Baru,45461,906,2286744,15,3944700
2025-01-28,Promo Diskon 50%,47391,2308,3902828,58,10275454
2025-05-26,Launching Produk Baru,11194,108,144936,1,483077
2025-05-14,Lookalike Audience,10991,237,457410,3,1062399
2025-05-24,Launching Produk Baru,38623,1594,4646510,56,9763992
2025-01-08,Launching Produk Baru,33980,862,1930018,27,6851979
2025-06-09,Lookalike Audience,48824,1134,2731806,40,10004160
2025-06-14,Flash Sale Akhir Bulan,40370,543,1255416,14,4481274
2025-04-12,Flash Sale Akhir Bulan,15200,509,1391097,6,2879100
2025-04-07,Launching Produk Baru,38018,659,573330,16,7385232
2025-06-21,Promo Diskon 50%,39249,436,1289252,2,528748
2025-06-15,Retargeting Web,36633,1109,3026461,49,20302415
2025-05-19,Promo Diskon 50%,17909,780,1315080,17,3525766
2025-06-21,Launching Produk Baru,35055,1599,4261335,45,22133835
2025-06-17,Flash Sale Akhir Bulan,32288,451,382899,16,6997328
2025-03-08,Flash Sale Akhir Bulan,13823,396,1138896,15,6256785
2025-01-27,Retargeting Web,24857,817,1350501,31,4991775
2025-05-11,Launching Produk Baru,46418,1822,1537768,67,20176380
2025-05-02,Flash Sale Akhir Bulan,30000,322,826574,7,3011421
2025-02-17,Retargeting Web,15951,832,1876992,32,5614752
2025-02-11,Flash Sale Akhir Bulan,15481,286,494780,3,1174662
2025-05-01,Promo Diskon 50%,31431,463,958410,17,2975119
2025-05-06,Retargeting Web,3238,235,322420,12,1958112
2025-05-01,Retargeting Web,46837,2473,5628548,135,42041430
2025-04-30,Lookalike Audience,15378,767,654251,26,10951070
2025-01-02,Launching Produk Baru,44274,461,890652,8,3004408
2025-02-22,Promo Diskon 50%,49906,1873,4654405,42,13922748
2025-04-12,Launching Produk Baru,40456,436,1087384,14,3686970
2025-05-21,Retargeting Web,29854,1667,4789291,52,23002512
2025-01-10,Flash Sale Akhir Bulan,6876,219,190749,6,2755614
2025-05-23,Retargeting Web,11596,847,1530529,35,14092015
2025-05-06,Flash Sale Akhir Bulan,19263,144,195264,4,628700
2025-05-06,Promo Diskon 50%,45507,412,744072,9,2620179
2025-06-17,Launching Produk Baru,37477,402,535866,5,1039560
2025-01-14,Promo Diskon 50%,13545,442,1069198,10,2973120
2025-02-14,Flash Sale Akhir Bulan,44038,1377,1257201,30,13061220
2025-02-18,Flash Sale Akhir Bulan,22487,388,408952,8,2100952
2025-06-26,Launching Produk Baru,45013,494,893646,3,1396875
2025-02-05,Lookalike Audience,25033,658,761964,3,581787
2025-02-26,Launching Produk Baru,46887,2297,5547255,46,12830826
2025-04-28,Retargeting Web,32262,1955,5669500,109,33725472
2025-03-28,Lookalike Audience,11149,390,935220,5,2109565
2025-03-20,Promo Diskon 50%,27956,1356,2185872,46,19608328
2025-06-20,Launching Produk Baru,45834,1434,3081666,13,4803227
2025-05-30,Lookalike Audience,17345,862,1238694,7,3007998
2025-06-22,Launching Produk Baru,31890,844,2250948,11,4812643
2025-03-14,Promo Diskon 50%,17730,404,474296,5,775265
2025-03-19,Launching Produk Baru,39548,651,1177659,23,8230205
2025-04-26,Lookalike Audience,13947,496,482112,10,3290230
2025-06-19,Flash Sale Akhir Bulan,5669,75,179550,2,927332
2025-05-02,Lookalike Audience,14471,138,135516,1,165167
2025-01-11,Retargeting Web,34580,1832,1738568,60,14803560
2025-05-17,Launching Produk Baru,5124,134,303912,4,1951180
2025-05-30,Lookalike Audience,9291,310,904890,6,2435772
2025-05-03,Launching Produk Baru,17460,342,557460,4,1434368
2025-06-16,Lookalike Audience,46096,2125,3202375,56,27273176
2025-04-07,Promo Diskon 50%,38325,1849,3977199,25,4889150
2025-01-22,Retargeting Web,30966,2172,4567716,109,17800245
2025-03-07,Flash Sale Akhir Bulan,41369,1769,1533723,61,29106821
2025-05-14,Flash Sale Akhir Bulan,20887,967,2034568,14,4672178
2025-03-11,Retargeting Web,4985,237,336303,6,2888130
2025-05-12,Launching Produk Baru,33495,1632,2919648,51,18886881
2025-03-20,Retargeting Web,8883,346,978142,15,6187020
2025-04-01,Lookalike Audience,11118,134,191620,4,794112
2025-02-18,Lookalike Audience,8751,418,925870,9,2139327
2025-05-27,Flash Sale Akhir Bulan,2221,45,127620,0,0
2025-01-26,Launching Produk Baru,21551,869,2581799,9,2151963
2025-03-10,Lookalike Audience,37482,1509,2719218,18,3564918
2025-02-22,Launching Produk Baru,33666,773,790006,9,1509624
2025-05-21,Retargeting Web,49936,3016,3230136,134,47118018
2025-02-01,Flash Sale Akhir Bulan,25717,1084,2672060,31,13044025
2025-01-27,Promo Diskon 50%,46962,1949,5176544,74,12257730
2025-04-23,Promo Diskon 50%,35505,1356,1857720,32,6182624
2025-03-01,Launching Produk Baru,49333,1028,2004600,29,5865627
2025-02-03,Flash Sale Akhir Bulan,4797,169,434330,6,2796636
2025-06-21,Promo Diskon 50%,31876,1098,3030480,20,6174640
2025-04-21,Lookalike Audience,15717,374,834394,11,4568586
2025-05-12,Lookalike Audience,8723,125,191250,1,221460
